,genres
104547,Action
104548,"Adventure, casual, indie, rpg, strategy"
104549,"Casual, indie, simulation"
104550,"Action, adventure, indie, rpg"
104552,"Action, casual, simulation, early access"
104553,"Action, adventure, indie"
104554,"Casual, indie"
104555,"Rpg, strategy"
104556,"Action, casual, indie"
104557,"Adventure, casual, indie"
104558,"Casual, indie, simulation, strategy, early access"
104560,"Action, indie, strategy"
104561,"Action, indie"
104562,"Indie, simulation"
104563,"Action, massively multiplayer, rpg, simulation"
104564,"Adventure, indie, rpg"
104565,"Indie, strategy"
104567,"Casual, indie"
104568,Rpg
104569,"Casual, strategy"
104570,Rpg
104576,"Casual, indie"
104577,Simulation
104578,"Action, casual, indie, sports"
104579,"Action, free to play, massively multiplayer, rpg, early access"
104580,"Action, adventure, casual, rpg"
104581,Simulation
104582,"Action, casual, indie"
104583,"Action, simulation"
104584,Simulation
104585,"Indie, rpg, simulation, strategy"
104586,Simulation
104587,"Adventure, indie, rpg"
104589,"Casual, indie, simulation"
104591,"Free to play, simulation, strategy"
104592,"Simulation, strategy"
104593,"Casual, indie, racing"
104594,"Adventure, casual, indie, strategy"
104595,"Adventure, casual, indie, rpg, simulation, sports, strategy"
104596,"Adventure, indie"
104597,"Casual, indie, simulation, strategy"
104599,"Action, adventure, indie, rpg"
104600,"Action, indie"
104602,"Action, indie"
104603,"Casual, free to play, indie, simulation, sports, strategy"
104604,Action
104605,"Action, casual, indie, early access"
104607,"Casual, indie"
104608,"Action, casual, indie"
104609,Action
104610,Casual
104611,"Adventure, indie"
104612,"Action, free to play, indie, massively multiplayer, rpg"
104613,"Action, casual, indie"
104614,"Action, adventure, simulation, early access"
104615,"Action, indie, early access"
104618,"Action, adventure"
104619,"Casual, indie"
104620,"Action, indie, rpg"
104621,"Action, adventure, casual, indie, simulation"
104622,"Action, casual, indie"
104623,"Casual, indie"
104624,"Action, indie"
104625,Casual
104626,Indie
104627,"Action, adventure, indie"
104628,"Action, casual, racing"
104629,"Action, adventure, indie"
104630,"Action, indie, rpg, strategy, early access"
104632,"Action, adventure, indie"
104633,"Action, adventure, indie, rpg"
104634,"Casual, indie, simulation, strategy, early access"
104635,Indie
104636,"Racing, early access"
104637,"Action, adventure, indie, rpg"
104638,"Adventure, indie, rpg"
104640,"Adventure, casual"
104642,"Action, adventure, indie, rpg, early access"
104644,"Action, indie"
104645,"Casual, indie"
104646,"Action, casual, massively multiplayer, racing, simulation, sports"
104648,Adventure
104649,"Adventure, indie, simulation"
104651,"Action, adventure, casual, indie"
104652,"Action, adventure, casual, indie"
104653,"Adventure, casual, indie, rpg"
104655,"Casual, indie"
104656,"Indie, rpg, simulation, strategy"
104657,"Indie, rpg, simulation, strategy"
104658,"Design &amp; illustration, web publishing"
104661,Simulation
104662,Casual
104664,"Action, casual, racing"
104665,"Adventure, indie, rpg"
104666,"Action, adventure, indie, sports"
104667,"Adventure, casual, indie, strategy"
104668,"Action, adventure"
104669,"Action, indie"
104670,"Action, adventure, indie"
104671,"Action, indie"
104673,"Action, casual, indie"
104675,Action
104676,Indie
104677,"Casual, free to play, indie"
104678,"Casual, indie"
104679,"Adventure, casual, indie, simulation, early access"
104680,"Casual, indie"
104681,"Action, indie"
104682,"Action, adventure, casual, indie"
104683,"Action, adventure, casual, indie"
104684,"Casual, indie"
104685,"Adventure, casual"
104686,"Action, indie"
104687,"Adventure, casual, indie, rpg, strategy"
104688,Casual
104689,"Indie, rpg"
104692,"Action, casual, indie"
104693,"Adventure, indie"
104695,"Action, indie, strategy, early access"
104696,"Casual, indie"
104697,"Action, adventure, indie"
104698,"Casual, indie"
104704,"Casual, strategy"
104706,"Action, adventure, casual, indie"
104707,"Action, casual, indie"
104708,"Action, adventure, indie"
104709,"Action, adventure, indie"
104710,"Action, indie, strategy"
104713,Action
104714,"Casual, free to play, indie, strategy"
104715,Action
104716,Indie
104718,Action
104719,"Action, adventure, indie"
104731,"Action, adventure, casual, indie"
104734,"Casual, free to play, indie, simulation, sports, strategy"
104736,"Casual, free to play, indie, strategy"
104737,"Casual, free to play, indie, strategy"
104738,"Casual, free to play, indie, strategy"
104739,Strategy
104741,Indie
104742,Strategy
104743,"Action, adventure, indie, rpg"
104744,"Adventure, casual, indie"
104745,"Adventure, casual, indie, rpg, simulation"
104746,Rpg
104747,"Action, adventure, casual, indie"
104749,"Action, indie"
104750,Rpg
104751,"Action, casual, sports"
104753,Action
104754,"Action, adventure, casual, indie, racing, sports, early access"
104755,Simulation
104756,"Massively multiplayer, rpg, early access"
104759,Indie
104760,"Action, adventure, indie, simulation"
104763,"Indie, simulation, strategy"
104764,Strategy
104769,"Action, casual, indie"
104770,"Casual, strategy"
104771,"Action, casual, indie"
104772,"Action, indie, simulation, early access"
104773,"Action, adventure, indie"
104774,"Indie, simulation, strategy"
104779,"Adventure, indie"
104781,Rpg
104782,"Action, adventure, indie"
104785,"Adventure, indie"
104786,"Action, adventure, casual, indie"
104787,Sports
104788,"Action, indie, animation &amp; modeling, design &amp; illustration"
104789,"Adventure, casual, indie"
104792,Indie
104793,"Adventure, casual, indie"
104794,"Action, adventure, casual"
104795,"Indie, rpg"
104796,"Casual, early access"
104798,"Adventure, casual, indie"
104799,"Action, indie"
104800,"Action, adventure, indie"
104801,"Casual, indie"
104802,"Adventure, casual, indie, simulation, early access"
104803,"Indie, rpg"
104804,"Adventure, casual, indie"
104805,"Casual, strategy"
104806,Adventure
104807,"Racing, simulation, sports"
104808,"Action, adventure, indie"
104809,"Racing, simulation, sports"
104810,"Adventure, indie, rpg"
104811,"Action, indie, racing, strategy"
104813,"Casual, free to play, indie, simulation, sports, strategy"
104814,"Action, indie"
104815,"Casual, indie, strategy"
104816,"Action, adventure, casual, free to play, indie, rpg"
104817,"Action, adventure, massively multiplayer, rpg"
104818,"Action, adventure, casual, indie"
104819,Strategy
104820,"Action, casual, indie"
104824,"Action, adventure, indie, rpg, early access"
104825,"Action, indie"
104826,"Free to play, indie, strategy"
104827,"Action, indie"
104828,"Action, casual, indie, racing"
104829,"Action, simulation, sports"
104831,"Casual, indie, strategy, early access"
104833,"Adventure, casual, indie"
104836,Simulation
104840,"Action, adventure, indie, rpg"
104841,"Action, indie, rpg, strategy"
104842,"Adventure, casual, indie"
104843,"Action, adventure, indie"
104844,"Casual, indie"
104845,"Action, casual, indie"
104846,"Adventure, casual, indie, rpg"
104847,"Adventure, casual, indie"
104851,"Action, free to play"
104852,"Adventure, casual, indie, simulation"
104854,"Indie, simulation, early access"
104855,"Action, adventure, casual, indie, rpg, simulation, strategy"
104856,"Casual, indie, simulation, early access"
104857,"Adventure, free to play"
104858,"Action, indie"
104859,"Adventure, indie"
104860,"Casual, indie"
104861,"Action, adventure, indie"
104862,"Action, adventure, indie, rpg, strategy"
104863,"Action, free to play, early access"
104864,"Action, adventure, indie"
104865,"Action, adventure, indie"
104866,"Racing, simulation"
104867,"Racing, simulation"
104868,"Indie, simulation, strategy"
104869,"Action, indie"
104870,"Adventure, simulation"
104871,"Action, massively multiplayer, racing"
104872,Indie
104873,Strategy
104874,"Adventure, free to play, simulation"
104875,"Adventure, indie, rpg, simulation, early access"
104879,"Adventure, rpg, strategy"
104880,"Adventure, casual, indie, racing, simulation, sports"
104881,"Action, adventure, indie, rpg"
104882,"Action, adventure, indie"
104886,"Action, adventure, casual, indie"
104887,"Adventure, casual, indie, rpg, simulation, strategy"
104888,"Adventure, casual, indie"
104889,"Action, adventure, casual, indie, rpg"
104890,"Adventure, casual, indie"
104891,"Adventure, indie"
104892,"Action, adventure, casual, indie"
104893,"Casual, indie, strategy"
104894,"Casual, indie"
104895,"Adventure, casual, indie"
104896,"Action, adventure, indie, rpg, simulation, early access"
104897,"Casual, free to play, indie, massively multiplayer, strategy"
104898,"Adventure, casual, indie"
104899,"Casual, indie"
104900,"Racing, simulation, sports"
104901,Simulation
104902,"Adventure, casual, indie, early access"
104904,"Adventure, indie, rpg"
104905,Indie
104906,Strategy
104907,Strategy
104908,Simulation
104909,"Adventure, casual, indie, simulation"
104910,"Adventure, indie"
104911,"Action, adventure, indie"
104912,"Rpg, strategy"
104913,"Action, adventure, indie"
104914,"Action, free to play"
104915,"Indie, strategy, early access"
104916,"Action, simulation"
104917,"Casual, indie"
104918,"Action, adventure, casual, indie, strategy"
104923,"Action, adventure, casual, racing, simulation, sports"
104925,"Action, adventure"
104926,"Adventure, indie"
104928,"Action, indie"
104930,"Indie, simulation, strategy"
104931,"Indie, simulation, strategy"
104932,"Action, indie"
104934,Action
104935,Indie
104936,"Casual, free to play, indie, simulation, sports, strategy"
104939,Indie
104940,Action
104943,Action
104944,Action
104945,Action
104946,"Adventure, indie, rpg, simulation, early access"
104947,Action
104948,Casual
104949,"Action, indie"
104950,"Action, casual, indie"
104951,"Action, indie, early access"
104952,"Adventure, casual"
104954,"Adventure, casual, indie, simulation, strategy, early access"
104955,"Indie, rpg"
104956,"Adventure, indie, simulation, strategy"
104961,Indie
104964,"Casual, indie"
104966,Simulation
104967,"Adventure, indie"
104968,"Indie, strategy"
104969,"Indie, simulation, early access"
104970,"Adventure, casual"
104971,"Action, adventure, casual, indie"
104972,"Adventure, indie"
104973,Strategy
104974,"Adventure, indie"
104975,"Action, casual, indie"
104976,"Action, adventure, casual, indie"
104977,"Casual, indie"
104978,"Adventure, casual, indie, rpg, simulation, strategy"
104979,"Adventure, strategy"
104980,"Casual, indie, early access"
104981,"Action, casual, indie, simulation, strategy"
104983,"Action, indie"
104984,"Adventure, casual, indie"
104985,"Adventure, casual, indie"
104987,"Action, adventure, indie"
104988,"Casual, indie, strategy"
104989,"Adventure, casual, indie, rpg, simulation, strategy"
104990,"Action, indie"
104991,"Casual, indie"
104992,Strategy
104993,"Action, indie"
104995,"Action, indie"
104996,Indie
104997,"Adventure, casual"
104998,Strategy
104999,"Action, adventure, casual, indie"
105001,Strategy
105002,"Casual, indie"
105003,"Action, casual, indie, sports"
105004,"Action, adventure, massively multiplayer, rpg, simulation, early access"
105006,"Indie, simulation"
105008,"Action, adventure, indie, rpg"
105010,"Casual, indie, strategy"
105011,"Action, casual, indie, strategy"
105013,"Action, indie"
105015,"Action, indie"
105016,"Casual, indie, simulation"
105017,"Action, casual, indie, strategy"
105018,"Indie, simulation, strategy"
105019,Simulation
105020,"Action, indie, simulation, strategy"
105021,Simulation
105022,"Indie, strategy, early access"
105023,"Adventure, casual"
105025,"Action, adventure, indie"
105026,"Adventure, indie"
105027,Action
105028,"Action, casual, indie"
105029,"Action, adventure, free to play, strategy"
105030,"Action, indie"
105031,"Adventure, free to play, indie, rpg"
105032,"Indie, early access"
105036,"Action, adventure, casual, indie, strategy"
105038,"Action, adventure, indie, rpg"
105039,"Action, adventure, casual, indie, early access"
105040,Simulation
105041,"Adventure, casual, indie"
105042,"Action, casual, indie"
105043,"Action, adventure, indie"
105045,Casual
105047,"Indie, simulation, strategy"
105048,"Casual, free to play, strategy"
105051,"Action, free to play, strategy"
105052,"Design &amp; illustration, web publishing"
105053,"Adventure, rpg, simulation"
105054,"Action, adventure, free to play, strategy"
105055,"Action, indie"
105057,"Indie, rpg, strategy"
105058,"Indie, rpg, strategy"
105062,"Action, casual, indie, racing, simulation, sports"
105063,"Action, indie"
105064,Indie
105065,"Adventure, indie, rpg"
105066,"Adventure, indie, rpg"
105067,"Action, casual, indie"
105068,"Casual, indie"
105069,"Action, adventure, rpg"
105073,"Casual, indie"
105076,"Casual, indie"
105078,"Action, indie"
105080,Simulation
105081,"Adventure, casual, indie"
105082,"Action, indie, early access"
105083,"Casual, indie"
105084,"Action, casual, indie"
105085,"Action, casual, indie, racing, simulation, sports"
105086,Action
105087,"Action, adventure, indie, rpg"
105088,"Action, indie"
105089,"Action, indie"
105090,"Adventure, casual"
105091,"Action, indie, rpg"
105092,Indie
105093,"Indie, simulation"
105096,"Adventure, indie"
105098,"Adventure, casual, indie"
105100,"Casual, indie"
105101,"Casual, indie, simulation"
105102,"Action, free to play, indie"
105103,"Casual, free to play, indie, simulation, sports, strategy"
105104,"Casual, indie"
105106,"Action, adventure, indie, rpg"
105108,"Adventure, strategy"
105109,"Indie, strategy"
105110,"Action, adventure, casual, indie, rpg, strategy"
105111,Action
105112,"Action, indie"
105113,"Action, indie"
105114,"Adventure, indie, rpg"
105115,"Action, indie, rpg"
105116,"Adventure, casual, indie"
105118,"Rpg, strategy, early access"
105119,"Action, indie"
105120,"Indie, rpg, early access"
105121,"Casual, free to play, indie, simulation"
105122,"Casual, indie, simulation"
105123,"Indie, simulation, strategy"
105125,"Adventure, indie"
105126,"Action, indie"
105127,"Casual, indie, simulation, strategy, early access"
105128,"Casual, indie"
105130,"Casual, indie"
105131,Simulation
105133,Strategy
105136,"Indie, racing, sports"
105137,"Action, casual, indie"
105140,"Casual, indie"
105143,"Indie, strategy"
105144,"Adventure, indie"
105145,"Action, indie"
105146,"Action, indie"
105148,"Action, indie, rpg"
105149,"Simulation, strategy"
105151,"Adventure, free to play, rpg, strategy"
105152,"Action, adventure, indie"
105153,"Action, adventure, indie"
105154,"Action, indie"
105155,"Adventure, casual"
105159,"Adventure, indie, rpg"
105160,"Action, adventure, casual, indie, strategy"
105161,"Action, indie, early access"
105163,"Action, indie"
105164,"Casual, indie"
105172,"Action, casual, indie"
105173,"Action, adventure, indie"
105174,Action
105175,Indie
105180,Adventure
105182,Indie
105183,"Casual, indie"
105184,"Action, indie, massively multiplayer"
105185,"Action, adventure, indie, simulation, early access"
105186,"Action, indie, rpg"
105189,"Adventure, indie"
105192,"Action, casual, indie, racing"
105195,"Adventure, casual, indie, simulation, sports, strategy"
105196,"Casual, indie"
105197,Simulation
105198,"Action, casual, indie, sports"
105199,"Adventure, indie, racing, simulation, sports"
105203,"Adventure, free to play, massively multiplayer, rpg"
105204,"Adventure, free to play, massively multiplayer, rpg"
105205,"Adventure, free to play, massively multiplayer, rpg"
105207,"Action, indie"
105208,"Action, adventure, indie"
105209,"Adventure, casual, indie, rpg, early access"
105210,"Casual, indie"
105215,"Simulation, strategy"
105219,"Action, adventure, casual, free to play, indie"
105220,"Action, casual, free to play, indie"
105223,Action
105226,"Indie, rpg"
105229,"Design &amp; illustration, utilities, web publishing, early access"
105230,"Casual, free to play, indie"
105231,"Adventure, indie"
105232,"Design &amp; illustration, utilities, web publishing"
105233,"Action, adventure, massively multiplayer, racing, simulation"
105234,"Casual, indie"
105235,Casual
105236,"Adventure, indie"
105237,"Action, adventure, indie"
105241,"Action, indie"
105243,Racing
105244,"Action, indie"
105247,Adventure
105248,Simulation
105249,"Casual, indie"
105250,Simulation
105251,"Casual, indie"
105252,Simulation
105253,"Action, simulation, strategy"
105254,"Action, indie"
105256,"Indie, simulation, strategy, early access"
105258,"Casual, indie"
105259,"Action, casual, indie"
105260,"Adventure, rpg, strategy, early access"
105261,"Adventure, indie, rpg"
105262,"Casual, indie, strategy"
105269,"Free to play, indie, strategy"
105270,"Casual, indie"
105273,Strategy
105275,"Action, adventure, indie, simulation, early access"
105278,"Adventure, casual, indie, rpg"
105279,"Action, indie, racing"
105281,"Action, indie"
105282,Simulation
105283,"Action, casual, indie"
105284,Simulation
105285,Strategy
105287,"Adventure, indie, rpg"
105288,Indie
105289,"Simulation, sports"
105291,Rpg
105292,Indie
105294,Indie
105295,"Action, casual, free to play, indie"
105296,"Indie, simulation"
105297,"Action, adventure, indie"
105298,"Action, indie, massively multiplayer"
105299,Adventure
105301,"Action, indie, racing, sports"
105302,"Action, casual, indie"
105303,"Action, indie"
105304,"Action, adventure, indie, rpg, early access"
105305,"Action, indie"
105306,"Adventure, indie, rpg"
105307,"Indie, simulation, strategy"
105308,"Casual, indie, simulation"
105310,"Animation &amp; modeling, utilities, early access"
105312,"Casual, strategy"
105314,"Casual, indie"
105315,"Indie, rpg, simulation, strategy, early access"
105316,"Action, adventure, indie"
105318,"Casual, indie"
105320,Simulation
105321,"Casual, indie"
105323,"Free to play, indie, strategy"
105324,"Free to play, indie, strategy"
105325,"Action, free to play, massively multiplayer"
105326,"Action, free to play, massively multiplayer"
105327,"Action, free to play, massively multiplayer"
105328,"Action, adventure, indie"
105329,"Casual, indie"
105330,"Action, adventure, indie"
105332,"Adventure, rpg"
105333,"Adventure, casual, indie, rpg, strategy"
105334,"Adventure, casual, indie, rpg, strategy"
105336,"Adventure, casual, indie, rpg, strategy"
105337,"Adventure, indie, simulation, early access"
105338,"Casual, indie"
105339,"Adventure, casual, indie, rpg, strategy"
105340,"Adventure, casual, indie, rpg, strategy"
105341,"Action, indie, early access"
105343,"Action, indie"
105344,"Adventure, casual, indie"
105345,"Action, casual, indie, sports"
105346,"Adventure, casual"
105347,"Casual, indie, racing"
105348,"Action, free to play, strategy"
105351,"Adventure, casual, indie"
105352,Rpg
105353,Strategy
105354,Strategy
105355,Strategy
105356,"Adventure, indie"
105359,"Action, adventure, free to play, massively multiplayer, rpg"
105361,"Action, free to play, massively multiplayer, strategy"
105362,Simulation
105365,"Indie, rpg, strategy, early access"
105366,Rpg
105367,"Action, free to play"
105368,Indie
105369,Racing
105373,"Casual, indie"
105375,"Action, casual, free to play, indie"
105376,"Adventure, indie"
105380,"Action, adventure, casual, free to play, massively multiplayer, rpg"
105381,"Action, adventure"
105382,"Action, adventure, casual, free to play, massively multiplayer, rpg"
105383,"Action, casual, indie"
105384,"Action, indie, strategy"
105385,"Massively multiplayer, rpg, early access"
105391,"Adventure, indie"
105392,"Action, casual, indie, simulation, strategy"
105393,"Adventure, casual, indie, strategy"
105394,"Action, indie"
105395,"Casual, indie, early access"
105396,"Casual, free to play, indie"
105397,"Action, adventure, indie"
105398,"Indie, simulation"
105400,"Adventure, indie, rpg"
105404,"Action, adventure, strategy"
105409,"Casual, indie"
105410,"Action, adventure, indie, rpg"
105411,"Action, casual, simulation"
105413,"Action, indie"
105414,"Action, indie"
105416,"Casual, indie, early access"
105417,"Action, indie"
105419,"Adventure, free to play, indie, simulation"
105421,"Action, adventure, indie"
105422,"Adventure, casual, indie, rpg, strategy"
105423,"Action, indie"
105424,"Casual, indie"
105425,"Indie, strategy"
105426,"Simulation, sports, strategy"
105429,"Adventure, indie, rpg"
105431,Design &amp; illustration
105432,"Adventure, casual, strategy"
105434,"Action, adventure, indie, rpg, strategy"
105436,"Adventure, casual, indie"
105437,Action
105444,"Action, adventure, casual, indie"
105447,"Action, indie, strategy, early access"
105455,"Adventure, free to play, rpg, strategy"
105470,Simulation
105471,Simulation
105473,Simulation
105477,"Action, indie"
105480,"Casual, indie, strategy"
105481,"Casual, indie, strategy"
105482,"Casual, indie, strategy"
105483,"Casual, indie, strategy"
105484,"Casual, indie, strategy"
105485,"Casual, indie, strategy"
105486,"Casual, indie, strategy"
105487,"Casual, indie, strategy"
105488,"Action, adventure, indie, strategy"
105489,"Action, indie"
105491,Action
105492,"Action, rpg, simulation, strategy"
105499,"Action, adventure, indie, rpg, early access"
105500,"Massively multiplayer, rpg"
105505,"Action, adventure, indie, rpg"
105506,"Casual, indie, strategy, early access"
105508,"Free to play, indie, simulation"
105509,"Action, casual, indie, simulation, strategy"
105511,"Action, indie"
105513,"Adventure, free to play, strategy"
105514,"Adventure, free to play, strategy"
105515,"Adventure, casual, indie"
105516,Simulation
105518,"Action, adventure, casual, indie"
105520,"Adventure, casual, indie"
105521,"Casual, strategy"
105522,"Casual, indie"
105524,"Action, adventure, indie, strategy, early access"
105525,"Casual, indie"
105526,"Adventure, casual, indie, rpg"
105527,"Action, adventure, rpg"
105528,"Action, casual, indie"
105529,"Adventure, indie, simulation"
105530,"Adventure, casual"
105531,Simulation
105532,"Action, adventure, casual"
105533,"Adventure, indie, rpg"
105534,"Adventure, indie, rpg"
105536,"Action, casual, indie, strategy, early access"
105537,"Adventure, indie, rpg"
105538,"Action, casual, indie, simulation"
105540,"Action, casual, indie"
105541,"Action, indie, sports"
105542,"Casual, indie"
105543,Indie
105545,"Rpg, strategy"
105546,"Free to play, rpg, strategy"
105547,"Free to play, rpg, strategy"
105548,"Adventure, indie"
105549,"Free to play, rpg, strategy"
105550,"Action, adventure, indie, rpg"
105551,"Free to play, indie, racing, sports"
105552,"Rpg, strategy"
105554,"Action, casual, indie, early access"
105556,"Action, indie, early access"
105557,"Action, indie"
105559,"Simulation, strategy"
105560,"Simulation, strategy"
105561,"Action, indie"
105565,"Action, adventure, indie"
105568,"Adventure, indie"
105570,"Action, casual, indie"
105572,Rpg
105573,"Action, rpg"
105574,Rpg
105575,Rpg
105576,Rpg
105577,Rpg
105578,Rpg
105579,Rpg
105580,"Adventure, casual"
105582,"Action, indie"
105583,"Indie, strategy"
105584,"Action, adventure, indie, massively multiplayer, rpg"
105585,Action
105586,"Action, free to play"
105587,"Action, indie, strategy, early access"
105588,"Casual, indie"
105591,"Casual, free to play, indie, simulation, sports, strategy"
105592,"Action, indie, strategy"
105593,"Action, indie"
105594,"Casual, indie, strategy"
105603,"Action, casual, massively multiplayer, simulation, strategy"
105605,"Free to play, rpg, early access"
105609,Indie
105610,"Action, free to play, indie"
105611,"Casual, free to play, massively multiplayer, rpg"
105612,"Adventure, casual, indie"
105613,"Action, indie, early access"
105615,Casual
105616,"Racing, simulation, sports"
105620,"Indie, strategy"
105623,"Adventure, free to play, indie, massively multiplayer"
105624,"Indie, racing, simulation, early access"
105625,"Casual, indie"
105626,"Adventure, simulation, sports"
105627,"Adventure, indie"
105628,"Action, adventure, indie"
105629,"Action, adventure, indie, rpg"
105630,"Adventure, simulation, sports"
105631,"Adventure, indie, simulation"
105632,"Adventure, casual, indie"
105634,"Indie, rpg, simulation, strategy"
105636,"Adventure, indie, rpg"
105640,"Action, adventure, indie"
105642,"Action, adventure, indie"
105644,"Action, adventure, indie"
105645,"Adventure, indie, rpg"
105646,Simulation
105647,Action
105648,"Action, indie, early access"
105649,"Action, adventure, indie, rpg"
105650,Action
105651,Action
105652,"Action, adventure, indie, rpg"
105653,Rpg
105654,"Adventure, casual, indie"
105655,"Adventure, casual, indie"
105656,"Action, casual, indie, rpg, strategy, early access"
105657,"Action, adventure, indie"
105658,Strategy
105662,"Casual, indie, simulation"
105664,"Casual, indie, simulation"
105665,"Action, rpg"
105668,Adventure
105669,"Simulation, sports"
105670,"Indie, rpg, strategy"
105672,"Action, adventure, indie, racing, simulation"
105673,"Indie, simulation, strategy"
105676,"Indie, simulation"
105677,"Action, indie, simulation"
105678,"Indie, simulation, strategy"
105679,"Casual, indie, simulation"
105680,"Adventure, casual"
105682,Action
105684,Simulation
105685,Simulation
105687,Action
105691,"Massively multiplayer, rpg"
105692,"Adventure, indie"
105694,"Action, indie"
105695,Casual
105696,"Action, indie"
105698,"Action, indie"
105699,"Action, indie"
105700,"Casual, indie, simulation, strategy"
105701,"Action, adventure, indie, rpg"
105705,"Action, adventure, casual, indie"
105706,"Indie, rpg"
105707,"Casual, indie, simulation"
105708,"Action, indie"
105709,"Casual, indie, simulation, strategy, early access"
105710,Indie
105712,"Adventure, casual, indie"
105713,"Indie, early access"
105714,"Action, indie, simulation, strategy, early access"
105715,"Adventure, casual"
105716,"Indie, simulation, strategy"
105717,"Free to play, massively multiplayer, rpg, strategy"
105719,"Action, indie"
105720,"Casual, indie, simulation"
105721,Adventure
105722,"Adventure, casual, rpg, strategy, early access"
105723,"Action, adventure, indie, rpg"
105724,"Action, adventure, indie, rpg"
105725,Indie
105726,Simulation
105727,"Action, adventure, indie, rpg"
105730,"Action, adventure, indie"
105731,"Casual, free to play, indie, simulation, sports, strategy"
105732,"Action, adventure, free to play, massively multiplayer, rpg, strategy"
105733,"Casual, free to play, indie, simulation, sports, strategy"
105735,"Adventure, indie, rpg"
105736,Action
105737,Action
105738,Action
105739,Action
105740,Action
105743,Action
105744,Action
105746,"Simulation, sports"
105747,"Adventure, casual"
105748,"Action, adventure, indie"
105750,"Action, adventure, indie"
105751,"Action, strategy"
105752,"Action, adventure, casual"
105753,Casual
105754,Simulation
105755,"Action, indie"
105756,"Indie, rpg, strategy"
105757,Simulation
105759,"Action, adventure, indie, early access"
105761,Simulation
105762,Action
105763,Indie
105765,"Action, casual, indie, early access"
105766,"Action, indie, early access"
105768,"Adventure, indie, rpg"
105769,"Action, indie, early access"
105770,"Action, casual, indie"
105771,"Action, adventure, indie, racing"
105772,"Action, casual, indie"
105773,"Action, casual, indie, early access"
105774,Free to play
105775,"Adventure, indie"
105776,"Action, racing, early access"
105777,"Action, indie, simulation, sports"
105778,"Adventure, indie, simulation"
105781,Casual
105793,"Action, casual, indie"
105797,"Action, indie, strategy"
105798,"Racing, simulation, sports"
105799,Indie
105803,"Casual, indie, strategy"
105805,"Action, casual, indie, early access"
105806,"Adventure, casual, indie, strategy"
105807,"Action, free to play, massively multiplayer"
105808,"Action, adventure, indie"
105809,"Action, adventure"
105814,"Adventure, casual, free to play, indie"
105815,"Action, indie"
105816,"Action, adventure, casual, indie, simulation"
105818,"Action, indie, simulation, sports"
105819,"Action, casual, indie, strategy"
105823,"Adventure, indie, rpg, strategy"
105824,"Action, indie, rpg"
105825,"Action, adventure, indie"
105827,"Action, adventure, indie, strategy"
105828,"Action, adventure, indie, rpg"
105829,"Action, casual, indie"
105830,"Indie, simulation, strategy, early access"
105831,"Action, adventure, indie"
105832,"Action, indie"
105834,"Adventure, indie, rpg, early access"
105835,"Action, sports, strategy, early access"
105836,"Adventure, casual, indie, rpg, simulation"
105837,"Adventure, indie"
105839,"Action, adventure, indie, strategy"
105840,Adventure
105844,"Indie, simulation, strategy"
105847,"Adventure, casual, free to play, indie"
105848,"Action, indie"
105851,"Casual, indie, rpg, strategy"
105852,"Casual, indie, rpg, strategy"
105854,Simulation
105855,"Action, adventure, indie, rpg, early access"
105857,"Adventure, casual, indie, strategy"
105860,Action
105863,"Action, indie, strategy, early access"
105864,"Action, adventure, indie"
105865,"Casual, indie"
105868,"Action, adventure, casual, indie, strategy"
105869,"Indie, simulation"
105873,"Action, indie"
105875,"Action, adventure, indie, simulation, early access"
105876,"Adventure, indie, rpg, strategy"
105877,"Casual, indie, simulation"
105878,Action
105879,"Action, adventure, indie, strategy"
105880,"Action, adventure, indie, racing, sports"
105881,"Massively multiplayer, rpg, strategy"
105882,"Action, indie"
105883,Simulation
105884,Simulation
105885,"Action, adventure, indie"
105886,Simulation
105887,Simulation
105888,"Action, adventure, indie"
105889,"Rpg, simulation, strategy"
105891,"Casual, indie, simulation, strategy"
105892,"Casual, indie, simulation, sports, strategy"
105893,"Action, casual, indie"
105894,"Action, indie"
105895,Simulation
105900,"Action, simulation, strategy"
105901,Action
105903,Adventure
105904,"Adventure, indie, simulation"
105908,"Action, indie, rpg"
105911,"Adventure, casual, indie, simulation"
105912,"Adventure, indie"
105913,"Action, adventure, casual, indie, strategy"
105914,"Adventure, casual, indie, simulation"
105915,"Indie, strategy"
105917,"Adventure, casual, indie, early access"
105918,"Action, adventure, indie, rpg"
105919,"Action, indie"
105920,"Action, adventure, free to play, sports, strategy"
105921,"Indie, simulation"
105924,Strategy
105925,Strategy
105927,"Action, free to play, strategy"
105928,Strategy
105929,"Casual, indie, rpg"
105930,"Action, indie"
105931,"Action, indie"
105934,"Indie, simulation, strategy, early access"
105936,"Action, adventure, indie"
105937,"Adventure, casual, indie"
105938,"Indie, simulation, strategy, early access"
105940,"Action, indie, early access"
105941,"Simulation, early access"
105942,"Adventure, casual"
105943,"Indie, racing, simulation, sports"
105944,"Action, indie"
105949,Simulation
105950,"Action, indie"
105951,"Action, indie"
105954,"Action, rpg"
105955,"Action, adventure, indie, rpg"
105958,Action
105960,"Action, casual, indie, early access"
105962,Simulation
105967,"Adventure, indie, early access"
105968,"Action, simulation, strategy"
105969,"Action, adventure, indie, massively multiplayer, rpg, simulation, strategy, early access"
105971,Rpg
105973,"Action, adventure, simulation"
105976,"Adventure, casual, indie"
105978,"Adventure, casual, indie"
